Player;Team;Age;Min;PTS;FG%;3P%;FT%;DREB;REB;AST;STL;BLK
Jalen Pickett;DEN;25;4.0;2.0;66.7;0.0;0.0;1.0;1.0;0.5;0.0;0.0
Jarred Vanderbilt;LAL;26;4.0;2.0;33.3;0.0;0.0;2.0;4.0;2.0;1.0;0.0
Jaylen Clark;MIN;23;4.0;2.0;0.0;0.0;100;0.0;0.0;0.0;1.0;0.0
John Konchar;MEM;29;4.0;2.0;25.0;0.0;0.0;3.0;3.0;2.0;1.0;0.0
Kel'el Ware;MIA;21;4.0;2.0;50.0;0.0;0.0;1.0;3.0;2.0;0.0;2.0
Luka Garza;MIN;26;4.0;2.0;100;0.0;0.0;0.0;1.0;0.0;0.0;0.0
Luke Kornet;BOS;29;4.0;2.0;100;0.0;0.0;0.0;1.0;0.0;0.0;0.0
Rudy Gobert;MIN;32;4.0;2.0;50.0;0.0;0.0;5.0;6.0;1.0;0.0;1.0
Scotty Pippen Jr.;MEM;24;4.0;2.0;11.0;0.0;0.0;2.0;2.0;4.0;1.0;0.0
Ben Simmons;LAC;28;4.0;1.0;50.0;0.0;0.0;0.5;1.0;1.0;0.0;0.5
Jaxson Hayes;LAL;24;4.0;1.0;0.0;0.0;50.0;1.0;3.0;0.0;0.0;0.0
Landry Shamet;NYK;28;4.0;1.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Alex Caruso;OKC;31;4.0;0.0;0.0;0.0;0.0;3.0;3.0;4.0;0.0;0.0
Alex Len;LAL;31;3.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0
Andre Jackson Jr.;MIL;23;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Bogdan Bogdanovi?;LAC;32;4.0;0.0;0.0;0.0;0.0;3.0;3.0;2.0;0.5;0.0
Bronny James;LAL;20;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Chris Livingston;MIL;21;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
Chuma Okeke;CLE;26;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Cory Joseph;ORL;33;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
Craig Porter Jr.;CLE;25;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
De'Andre Hunter;CLE;27;16.0;0.0;0.0;0.0;0.0;2.0;3.0;1.0;0.0;0.0
DeAndre Jordan;DEN;36;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
Dean Wade;CLE;28;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
Gary Harris;ORL;30;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
Goga Bitadze;ORL;25;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Isaac Okoro;CLE;24;4.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0
JD Davison;BOS;22;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
